,event_date,event_id,event_name,section_name,row_name,ticket_type,add_datetime,sale_price,acct_id,channel,sale_type,seat_num
6433,6/7/2021,64626,20PNR2VB,223,14,Full Strip,55:29.1,175,11715215,Internal,Archtics,4
6434,6/5/2021,64625,20PNR2VA,7,9,Full Strip,13:09.1,625,16949719,Internal,Archtics,14
6435,6/7/2021,64626,20PNR2VB,7,9,Full Strip,13:09.1,625,16949719,Internal,Archtics,14
6436,6/7/2021,64626,20PNR2VB,222,11,Full Strip,19:56.4,160,13956250,Internal,Archtics,3
6437,6/7/2021,64626,20PNR2VB,222,11,Full Strip,19:56.4,160,13956250,Internal,Archtics,1
6438,6/5/2021,64625,20PNR2VA,223,19,Full Strip,59:00.7,160,28287250,Internal,Archtics,26
6439,6/7/2021,64626,20PNR2VB,223,19,Full Strip,59:00.7,160,28287250,Internal,Archtics,26
6440,6/5/2021,64625,20PNR2VA,222,21,Full Strip,03:19.4,150,27928663,Internal,Archtics,12
6441,6/7/2021,64626,20PNR2VB,222,21,Full Strip,03:19.4,150,27928663,Internal,Archtics,12
6442,6/5/2021,64625,20PNR2VA,222,14,Full Strip,03:19.4,160,27928663,Internal,Archtics,11
6443,6/7/2021,64626,20PNR2VB,222,14,Full Strip,03:19.4,160,27928663,Internal,Archtics,11
6444,6/5/2021,64625,20PNR2VA,10,17,Full Strip,04:56.6,370,18630301,Internal,Archtics,4
6445,6/7/2021,64626,20PNR2VB,10,17,Full Strip,04:56.6,370,18630301,Internal,Archtics,4
6446,6/5/2021,64625,20PNR2VA,222,18,Full Strip,00:46.2,150,13884858,Internal,Archtics,26
6447,6/7/2021,64626,20PNR2VB,222,18,Full Strip,00:46.2,150,13884858,Internal,Archtics,26
6448,6/7/2021,64626,20PNR2VB,109,7,Full Strip,01:57.5,360,26530113,Internal,Archtics,10
6449,6/5/2021,64625,20PNR2VA,109,7,Full Strip,01:57.5,360,26530113,Internal,Archtics,10
6450,6/7/2021,64626,20PNR2VB,109,7,Full Strip,01:57.5,360,26530113,Internal,Archtics,8
6451,6/7/2021,64626,20PNR2VB,223,21,Full Strip,58:47.2,160,18846004,Internal,Archtics,17
6452,6/5/2021,64625,20PNR2VA,222,22,Full Strip,59:08.8,150,26764464,Internal,Archtics,28
6453,6/7/2021,64626,20PNR2VB,222,22,Full Strip,59:08.8,150,26764464,Internal,Archtics,28
6454,6/7/2021,64626,20PNR2VB,222,10,Full Strip,06:21.4,160,25462154,Internal,Archtics,17
6455,6/5/2021,64625,20PNR2VA,222,18,Full Strip,04:00.4,150,6968950,Internal,Archtics,3
6456,6/7/2021,64626,20PNR2VB,222,18,Full Strip,04:00.4,150,6968950,Internal,Archtics,3
6457,6/5/2021,64625,20PNR2VA,223,13,Full Strip,03:51.8,175,31697580,Internal,Archtics,23
6458,6/7/2021,64626,20PNR2VB,223,13,Full Strip,03:51.8,175,31697580,Internal,Archtics,23
6459,6/5/2021,64625,20PNR2VA,222,13,Full Strip,04:13.4,160,18628818,Internal,Archtics,20
6460,6/7/2021,64626,20PNR2VB,222,13,Full Strip,04:13.4,160,18628818,Internal,Archtics,20
6461,6/5/2021,64625,20PNR2VA,222,12,Full Strip,03:14.3,160,26547729,Internal,Archtics,19
6462,6/7/2021,64626,20PNR2VB,222,12,Full Strip,03:14.3,160,26547729,Internal,Archtics,19
6463,6/7/2021,64626,20PNR2VB,222,21,Full Strip,02:55.6,150,28283919,Internal,Archtics,20
6464,6/7/2021,64626,20PNR2VB,222,21,Full Strip,02:55.6,150,28283919,Internal,Archtics,21
6465,6/5/2021,64625,20PNR2VA,222,21,Full Strip,02:55.6,150,28283919,Internal,Archtics,20
6466,6/7/2021,64626,20PNR2VB,222,21,Full Strip,02:55.6,150,28283919,Internal,Archtics,22
6467,6/5/2021,64625,20PNR2VA,222,21,Full Strip,02:55.6,150,28283919,Internal,Archtics,22
6468,6/5/2021,64625,20PNR2VA,6,17,Full Strip,05:38.4,370,16881789,Internal,Archtics,4
6469,6/7/2021,64626,20PNR2VB,6,17,Full Strip,05:38.4,370,16881789,Internal,Archtics,4
6470,6/5/2021,64625,20PNR2VA,223,13,Full Strip,02:54.1,175,31699422,Internal,Archtics,26
6471,6/7/2021,64626,20PNR2VB,223,13,Full Strip,02:54.1,175,31699422,Internal,Archtics,26
6472,6/5/2021,64625,20PNR2VA,222,13,Full Strip,04:29.5,160,19289819,Internal,Archtics,24
6473,6/7/2021,64626,20PNR2VB,222,13,Full Strip,04:29.5,160,19289819,Internal,Archtics,24
6474,6/5/2021,64625,20PNR2VA,222,11,Full Strip,05:11.7,160,26739557,Internal,Archtics,22
6475,6/7/2021,64626,20PNR2VB,222,11,Full Strip,05:11.7,160,26739557,Internal,Archtics,24
6476,6/5/2021,64625,20PNR2VA,222,11,Full Strip,05:11.7,160,26739557,Internal,Archtics,24
6477,6/5/2021,64625,20PNR2VA,222,10,Full Strip,06:21.4,160,25462154,Internal,Archtics,17
6478,6/7/2021,64626,20PNR2VB,24,11,Full Strip,28:27.0,670,13146092,Internal,Archtics,2
6479,6/5/2021,64625,20PNR2VA,24,11,Full Strip,28:27.0,670,13146092,Internal,Archtics,2
6480,6/5/2021,64625,20PNR2VA,223,22,Full Strip,57:11.9,160,4065565,Internal,Archtics,25
6481,6/7/2021,64626,20PNR2VB,223,22,Full Strip,57:11.9,160,4065565,Internal,Archtics,25
6482,6/5/2021,64625,20PNR2VA,24,18,Full Strip,03:17.8,500,12566392,Internal,Archtics,18
6483,6/7/2021,64626,20PNR2VB,24,18,Full Strip,03:17.8,500,12566392,Internal,Archtics,18
6484,6/5/2021,64625,20PNR2VA,222,11,Full Strip,19:56.4,160,13956250,Internal,Archtics,4
6485,6/7/2021,64626,20PNR2VB,222,11,Full Strip,19:56.4,160,13956250,Internal,Archtics,4
6486,6/5/2021,64625,20PNR2VA,VIP25,3,Full Strip,04:28.4,810,25076374,Internal,Archtics,6
6487,6/7/2021,64626,20PNR2VB,VIP25,3,Full Strip,04:28.4,810,25076374,Internal,Archtics,4
6488,6/5/2021,64625,20PNR2VA,VIP25,3,Full Strip,04:28.4,810,25076374,Internal,Archtics,4
6489,6/5/2021,64625,20PNR2VA,VIP25,3,Full Strip,04:28.4,810,25076374,Internal,Archtics,5
6490,6/7/2021,64626,20PNR2VB,VIP25,3,Full Strip,04:28.4,810,25076374,Internal,Archtics,6
6491,6/7/2021,64626,20PNR2VB,VIP25,3,Full Strip,04:28.4,810,25076374,Internal,Archtics,5
6492,6/5/2021,64625,20PNR2VA,222,7,Full Strip,09:54.4,175,16321716,Internal,Archtics,4
6493,6/7/2021,64626,20PNR2VB,222,7,Full Strip,09:54.4,175,16321716,Internal,Archtics,4
6494,6/5/2021,64625,20PNR2VA,222,7,Full Strip,09:54.4,175,16321716,Internal,Archtics,5
6495,6/7/2021,64626,20PNR2VB,222,7,Full Strip,09:54.4,175,16321716,Internal,Archtics,5
6496,6/5/2021,64625,20PNR2VA,222,11,Full Strip,10:33.5,160,26823054,Internal,Archtics,8
6497,6/7/2021,64626,20PNR2VB,222,11,Full Strip,10:33.5,160,26823054,Internal,Archtics,8
6498,6/5/2021,64625,20PNR2VA,222,13,Full Strip,10:33.5,160,26823054,Internal,Archtics,12
6499,6/7/2021,64626,20PNR2VB,222,13,Full Strip,10:33.5,160,26823054,Internal,Archtics,12
6500,6/5/2021,64625,20PNR2VA,222,3,Full Strip,11:46.7,200,3350322,Internal,Archtics,2
6501,6/7/2021,64626,20PNR2VB,222,3,Full Strip,11:46.7,200,3350322,Internal,Archtics,2
6502,6/5/2021,64625,20PNR2VA,222,14,Full Strip,11:21.4,160,21511222,Internal,Archtics,19
6503,6/7/2021,64626,20PNR2VB,222,14,Full Strip,11:21.4,160,21511222,Internal,Archtics,19
6504,6/5/2021,64625,20PNR2VA,222,13,Full Strip,11:35.0,160,28300681,Internal,Archtics,4
6505,6/7/2021,64626,20PNR2VB,222,13,Full Strip,11:35.0,160,28300681,Internal,Archtics,4
6506,6/5/2021,64625,20PNR2VA,222,22,Full Strip,07:17.1,150,28100685,Internal,Archtics,11
6507,6/7/2021,64626,20PNR2VB,222,22,Full Strip,07:17.1,150,28100685,Internal,Archtics,11
6508,6/5/2021,64625,20PNR2VA,222,13,Full Strip,09:24.3,160,26721001,Internal,Archtics,10
6509,6/7/2021,64626,20PNR2VB,222,13,Full Strip,09:24.3,160,26721001,Internal,Archtics,10
6510,6/5/2021,64625,20PNR2VA,222,13,Full Strip,09:24.3,160,26721001,Internal,Archtics,6
6511,6/7/2021,64626,20PNR2VB,222,13,Full Strip,09:24.3,160,26721001,Internal,Archtics,6
6512,6/5/2021,64625,20PNR2VA,222,6,Full Strip,13:14.5,175,31963116,Internal,Archtics,8
6513,6/7/2021,64626,20PNR2VB,222,6,Full Strip,13:14.5,175,31963116,Internal,Archtics,8
6514,6/5/2021,64625,20PNR2VA,222,11,Full Strip,12:53.7,160,14257871,Internal,Archtics,6
6515,6/7/2021,64626,20PNR2VB,222,11,Full Strip,12:53.7,160,14257871,Internal,Archtics,6
6516,6/5/2021,64625,20PNR2VA,222,13,Full Strip,15:03.9,160,31694680,Internal,Archtics,8
6517,6/7/2021,64626,20PNR2VB,222,13,Full Strip,15:03.9,160,31694680,Internal,Archtics,8
6518,6/5/2021,64625,20PNR2VA,223,1,Full Strip,17:26.1,260,24876112,Internal,Archtics,3
6519,6/7/2021,64626,20PNR2VB,223,1,Full Strip,17:26.1,260,24876112,Internal,Archtics,3
6520,6/5/2021,64625,20PNR2VA,7,20,Full Strip,14:55.1,445,26540765,Internal,Archtics,6
6521,6/7/2021,64626,20PNR2VB,7,20,Full Strip,14:55.1,445,26540765,Internal,Archtics,6
6522,6/5/2021,64625,20PNR2VA,7,19,Full Strip,14:55.1,445,26540765,Internal,Archtics,2
6523,6/7/2021,64626,20PNR2VB,7,19,Full Strip,14:55.1,445,26540765,Internal,Archtics,2
6524,6/5/2021,64625,20PNR2VA,222,14,Full Strip,14:11.2,160,31656762,Internal,Archtics,9
6525,6/7/2021,64626,20PNR2VB,222,14,Full Strip,14:11.2,160,31656762,Internal,Archtics,9
